Country or Area,Richest 20% Learning materials at home - Children's books,Female Net enrolment ratio in secondary education,Total Learning materials at home - Children's books,Male Net enrolment ratio in secondary education,Poorest 20% Learning materials at home - Children's books,Female Net attendance ratio in secondary education,Female Gross enrolment ratio in pre-primary education,Male Net attendance ratio in secondary education,Proportion of pupils starting grade 1 who reach grade 5,Gross enrolment ratio in lower secondary education
Lesotho,0.12121212121212124,0.31521739130434784,0.041237113402061855,0.1264367816091954,0.010752688172043013,0.4081632653061225,0.11486486486486487,0.2653061224489796,0.5753424657534246,0.34210526315789475
Liberia,0.21212121212121213,0.2282608695652173,0.08247422680412371,0.26436781609195403,0.010752688172043013,0.14285714285714285,0.08783783783783784,0.14285714285714285,0.5616438356164384,0.2368421052631579
Libya,0.5252525252525253,0.5978260869565217,0.21649484536082475,0.6436781609195402,0.0967741935483871,0.5127551020408163,0.14864864864864866,0.5076530612244898,0.7842465753424658,0.6140350877192983
Liechtenstein,0.5195381487834321,0.6086956521739131,0.3423123473600035,0.5977011494252874,0.2406934018619961,0.5798192532827089,0.7027027027027027,0.5703755339345039,0.7123287671232876,0.7368421052631579
Lithuania,0.5195381487834321,0.9021739130434784,0.3423123473600035,0.9080459770114944,0.2406934018619961,0.5798192532827089,0.4864864864864865,0.5703755339345039,0.9726027397260274,0.6754385964912281
Luxembourg,0.5195381487834321,0.8478260869565217,0.3423123473600035,0.8275862068965517,0.2406934018619961,0.5798192532827089,0.5743243243243243,0.5703755339345039,0.9452054794520548,0.7982456140350878
Madagascar,0.101010101010101,0.17391304347826084,0.030927835051546393,0.1264367816091954,0.021505376344086027,0.2857142857142857,0.054054054054054064,0.2755102040816326,0.1095890410958904,0.20175438596491227
Malawi,0.101010101010101,0.2065217391304348,0.030927835051546393,0.1839080459770115,0.021505376344086027,0.20408163265306128,0.11486486486486487,0.19387755102040816,0.3561643835616438,0.18421052631578946
Malaysia,0.44107744107744096,0.6847826086956522,0.3161512027491409,0.6091954022988506,0.1039426523297491,0.6428571428571429,0.4594594594594595,0.6224489795918368,0.9726027397260274,0.631578947368421
Maldives,0.14646464646464644,0.4130434782608696,0.36597938144329895,0.4827586206896552,0.010752688172043013,0.6428571428571429,0.7702702702702703,0.5306122448979592,0.6004566210045661,0.4912280701754386
Mali,0.2188552188552189,0.17391304347826084,0.12371134020618554,0.26436781609195403,0.013440860215053764,0.24489795918367346,0.013513513513513514,0.3877551020408163,0.6575342465753424,0.2543859649122807
Malta,0.8101010101010101,0.7826086956521741,0.44948453608247424,0.8045977011494253,0.4,0.8857142857142857,0.7702702702702703,0.8877551020408163,0.726027397260274,0.7368421052631579
Marshall Islands,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.6428571428571429,0.3108108108108108,0.6224489795918368,0.7671232876712328,0.7982456140350878
Mauritania,0.21212121212121213,0.2282608695652173,0.08247422680412371,0.26436781609195403,0.010752688172043013,0.17346938775510204,0.08783783783783784,0.21428571428571427,0.6027397260273972,0.06140350877192983
Mauritius,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.2959183673469388,0.6418918918918919,0.3163265306122449,0.9726027397260274,0.6754385964912281
Mexico,0.7373737373737373,0.7065217391304348,0.010309278350515464,0.6666666666666666,0.1827956989247312,0.4877551020408163,0.6824324324324325,0.42857142857142855,0.9178082191780822,0.8596491228070176
Monaco,0.5195381487834321,0.8043478260869565,0.3423123473600035,0.8160919540229885,0.2406934018619961,0.5798192532827089,0.3716216216216216,0.5703755339345039,0.9452054794520548,0.6666666666666666
Mongolia,0.4848484848484849,0.7173913043478259,0.2371134020618557,0.6666666666666666,0.06451612903225806,0.9693877551020408,0.527027027027027,0.9285714285714286,0.9178082191780822,0.6140350877192983
Montenegro,0.9292929292929292,0.8043478260869565,0.7938144329896907,0.8160919540229885,0.5376344086021505,0.9387755102040816,0.19594594594594594,0.9183673469387756,0.9452054794520548,0.8333333333333334
Morocco,0.5252525252525253,0.5978260869565217,0.21649484536082475,0.6436781609195402,0.0967741935483871,0.3673469387755102,0.3310810810810811,0.3979591836734694,0.8767123287671232,0.6140350877192983
Mozambique,0.101010101010101,0.07608695652173914,0.030927835051546393,0.05747126436781608,0.021505376344086027,0.20408163265306128,0.11486486486486487,0.21428571428571427,0.7713684360730597,0.13157894736842105
Myanmar,0.44107744107744096,0.4782608695652174,0.3161512027491409,0.4252873563218391,0.1039426523297491,0.5408163265306123,0.060810810810810814,0.5306122448979592,0.6575342465753424,0.3771929824561404
Namibia,0.12121212121212124,0.2391304347826087,0.041237113402061855,0.2413793103448276,0.010752688172043013,0.6326530612244898,0.11486486486486487,0.4795918367346938,0.7671232876712328,0.2456140350877193
Nauru,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.7040816326530612,0.6216216216216216,0.5306122448979592,0.9315068493150684,0.6140350877192983
Nepal,0.14646464646464644,0.4130434782608696,0.36597938144329895,0.4827586206896552,0.010752688172043013,0.3877551020408163,0.32432432432432434,0.4693877551020408,0.3972602739726027,0.4912280701754386
Netherlands,0.5195381487834321,0.8695652173913043,0.3423123473600035,0.8620689655172413,0.2406934018619961,0.5798192532827089,0.6216216216216216,0.5703755339345039,0.9452054794520548,0.9473684210526316
New Zealand,0.5195381487834321,0.9456521739130436,0.3423123473600035,0.9425287356321842,0.2406934018619961,0.6428571428571429,0.6351351351351351,0.6224489795918368,0.9315068493150684,0.7456140350877193
Nicaragua,0.7373737373737373,0.44565217391304346,0.010309278350515464,0.3563218390804598,0.1827956989247312,0.4795918367346938,0.3716216216216216,0.35714285714285715,0.8767123287671232,0.5350877192982456
Niger,0.21212121212121213,0.6121215062111802,0.08247422680412371,0.011494252873563218,0.010752688172043013,0.08163265306122447,0.020270270270270268,0.1326530612244898,0.5753424657534246,0.5734192251461996
Nigeria,0.35353535353535354,0.2375776397515528,0.14432989690721648,0.2676518883415435,0.021505376344086027,0.4387755102040816,0.08783783783783784,0.4591836734693878,0.726027397260274,0.2456140350877193
Norway,0.5195381487834321,0.9347826086956522,0.3423123473600035,0.9425287356321842,0.2406934018619961,0.5798192532827089,0.6554054054054054,0.5703755339345039,0.9863013698630136,0.6929824561403509
Oman,0.5892255892255893,0.8913043478260869,0.32302405498281783,0.8850574712643678,0.2293906810035841,0.7346938775510204,0.2972972972972973,0.7460317460317459,0.8664383561643836,0.7807017543859649
Pakistan,0.14646464646464644,0.2282608695652173,0.36597938144329895,0.2988505747126437,0.010752688172043013,0.2959183673469388,0.32432432432432434,0.35714285714285715,0.4794520547945205,0.21929824561403508
Panama,0.7373737373737373,0.6956521739130435,0.010309278350515464,0.6206896551724138,0.1827956989247312,0.4877551020408163,0.4459459459459459,0.42857142857142855,0.9178082191780822,0.6491228070175439
Papua New Guinea,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.6428571428571429,0.6621621621621622,0.6224489795918368,0.9315068493150684,0.6140350877192983
Paraguay,0.8131313131313131,0.5869565217391305,0.4793814432989691,0.5287356321839081,0.25806451612903225,0.8163265306122449,0.2297297297297297,0.8265306122448979,0.6986301369863014,0.5175438596491229
Peru,0.8131313131313131,0.7608695652173914,0.4793814432989691,0.7471264367816092,0.25806451612903225,0.8367346938775511,0.527027027027027,0.8265306122448979,0.8630136986301371,0.7192982456140351
Philippines,0.44107744107744096,0.6413043478260869,0.3161512027491409,0.5057471264367817,0.1039426523297491,0.7142857142857143,0.34459459459459457,0.5612244897959183,0.6712328767123288,0.6052631578947368
Poland,1.0,0.9130434782608696,1.0,0.8965517241379308,1.0,0.9081632653061223,0.4391891891891892,0.8911564625850338,0.9726027397260274,0.6842105263157895
Portugal,0.8101010101010101,0.8043478260869565,0.44948453608247424,0.8160919540229885,0.4,0.8857142857142857,0.5472972972972973,0.8877551020408163,0.9452054794520548,0.8508771929824561
Qatar,0.5892255892255893,0.9239130434782608,0.32302405498281783,0.7356321839080459,0.2293906810035841,0.7346938775510204,0.3581081081081081,0.7460317460317459,0.8664383561643836,0.7192982456140351
Republic of Korea,0.4848484848484849,0.9456521739130436,0.2371134020618557,0.9655172413793104,0.06451612903225806,0.6428571428571429,0.7972972972972973,0.6224489795918368,0.9863013698630136,0.7105263157894737
Republic of Moldova,1.0,0.7717391304347826,1.0,0.7586206896551724,1.0,0.8673469387755102,0.5,0.8367346938775511,0.9315068493150684,0.6140350877192983
Romania,1.0,0.8152173913043478,1.0,0.8045977011494253,1.0,0.9081632653061223,0.527027027027027,0.8911564625850338,0.9589041095890408,0.6754385964912281
Russian Federation,1.0,0.8043478260869565,1.0,0.8160919540229885,1.0,0.9081632653061223,0.5945945945945946,0.8911564625850338,0.9452054794520548,0.6228070175438597
Rwanda,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.16326530612244894,0.06756756756756757,0.15306122448979592,0.4520547945205479,0.21052631578947367
Saint Kitts and Nevis,0.9393939393939394,0.8695652173913043,0.8350515463917526,0.8850574712643678,0.7096774193548387,0.6938775510204082,0.5878378378378378,0.6301020408163265,0.6438356164383562,0.7105263157894737
Saint Lucia,0.9393939393939394,0.8369565217391305,0.8350515463917526,0.8390804597701149,0.7096774193548387,0.6938775510204082,0.3918918918918919,0.6301020408163265,0.8904109589041096,0.6929824561403509
Saint Vincent and the Grenadines,0.9393939393939394,0.9565217391304348,0.8350515463917526,0.8390804597701149,0.7096774193548387,0.6938775510204082,0.5337837837837838,0.6301020408163265,0.8767123287671232,0.8771929824561403
Samoa,0.5195381487834321,0.8152173913043478,0.3423123473600035,0.7011494252873564,0.2406934018619961,0.7142857142857143,0.2702702702702703,0.5204081632653061,0.9315068493150684,0.7543859649122807
San Marino,0.8101010101010101,0.8043478260869565,0.44948453608247424,0.8160919540229885,0.4,0.8857142857142857,0.5945945945945946,0.8877551020408163,0.9452054794520548,0.7017543859649122
Sao Tome and Principe,0.21212121212121213,0.4782608695652174,0.08247422680412371,0.3678160919540229,0.010752688172043013,0.3163265306122449,0.31756756756756754,0.30612244897959184,0.5616438356164384,0.456140350877193
Saudi Arabia,0.5892255892255893,0.8152173913043478,0.32302405498281783,0.7586206896551724,0.2293906810035841,0.7346938775510204,0.14864864864864866,0.7460317460317459,0.8664383561643836,0.7631578947368421
Senegal,0.21212121212121213,0.2282608695652173,0.08247422680412371,0.26436781609195403,0.010752688172043013,0.32653061224489793,0.08783783783783784,0.35714285714285715,0.4520547945205479,0.2368421052631579
Serbia,0.8686868686868687,0.9021739130434784,0.7835051546391752,0.8850574712643678,0.5268817204301075,0.9183673469387756,0.35135135135135137,0.8979591836734694,0.9863013698630136,0.7017543859649122
Seychelles,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.2959183673469388,0.6486486486486487,0.3163265306122449,0.4520547945205479,0.9824561403508772
Sierra Leone,0.2188552188552189,0.2282608695652173,0.12371134020618554,0.26436781609195403,0.013440860215053764,0.33673469387755106,0.040540540540540536,0.4081632653061225,0.5616438356164384,0.2368421052631579
Singapore,0.44107744107744096,0.7173913043478259,0.3161512027491409,0.6666666666666666,0.1039426523297491,0.6428571428571429,0.3716216216216216,0.6224489795918368,0.9863013698630136,0.6140350877192983
Slovakia,1.0,0.8043478260869565,1.0,0.8160919540229885,1.0,0.9081632653061223,0.5945945945945946,0.8911564625850338,0.9726027397260274,0.631578947368421
Slovenia,0.8101010101010101,0.9130434782608696,0.44948453608247424,0.9080459770114944,0.4,0.8857142857142857,0.5675675675675675,0.8877551020408163,1.0,0.6754385964912281
Solomon Islands,0.5195381487834321,0.2282608695652173,0.3423123473600035,0.26436781609195403,0.2406934018619961,0.30612244897959184,0.3310810810810811,0.2959183673469388,0.3972602739726027,0.2719298245614035
Somalia,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.08163265306122447,0.11486486486486487,0.12244897959183673,0.4520547945205479,0.2456140350877193
South Africa,0.12121212121212124,0.2391304347826087,0.041237113402061855,0.2413793103448276,0.010752688172043013,0.4897959183673469,0.4324324324324325,0.4183673469387755,0.4520547945205479,0.6754385964912281
South Sudan,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.040816326530612235,0.11486486486486487,0.08163265306122447,0.4520547945205479,0.2456140350877193
Spain,0.8101010101010101,0.9565217391304348,0.44948453608247424,0.9425287356321842,0.4,0.8857142857142857,0.8513513513513513,0.8877551020408163,0.9863013698630136,0.8859649122807017
Sri Lanka,0.14646464646464644,0.4130434782608696,0.36597938144329895,0.4827586206896552,0.010752688172043013,0.4693877551020408,0.32432432432432434,0.5612244897959183,0.6004566210045661,0.4912280701754386
State of Palestine,0.5892255892255893,0.8586956521739131,0.32302405498281783,0.7931034482758621,0.2293906810035841,0.7346938775510204,0.25675675675675674,0.7460317460317459,0.8664383561643836,0.6052631578947368
Sudan,0.5252525252525253,0.2282608695652173,0.21649484536082475,0.26436781609195403,0.0967741935483871,0.30612244897959184,0.08108108108108109,0.33673469387755106,0.3972602739726027,0.2719298245614035
Suriname,0.7575757575757576,0.5108695652173914,0.4639175257731959,0.3908045977011495,0.21505376344086025,0.6836734693877551,0.5743243243243243,0.5714285714285714,0.8630136986301371,0.6140350877192983
Swaziland,0.12121212121212124,0.31521739130434784,0.041237113402061855,0.19540229885057472,0.010752688172043013,0.5306122448979592,0.14864864864864866,0.42857142857142855,0.7808219178082192,0.42105263157894735
Sweden,0.5195381487834321,0.9347826086956522,0.3423123473600035,0.9425287356321842,0.2406934018619961,0.5798192532827089,0.6351351351351351,0.5703755339345039,0.9863013698630136,0.6842105263157895
Switzerland,0.5195381487834321,0.8043478260869565,0.3423123473600035,0.8275862068965517,0.2406934018619961,0.5798192532827089,0.668918918918919,0.5703755339345039,0.9452054794520548,0.7807017543859649
Syrian Arab Republic,0.5353535353535354,0.6413043478260869,0.30927835051546393,0.632183908045977,0.12903225806451613,0.6428571428571429,0.054054054054054064,0.6428571428571429,0.9315068493150684,0.6403508771929824
Tajikistan,0.3333333333333333,0.7826086956521741,0.17525773195876287,0.8965517241379308,0.04301075268817205,0.7551020408163265,0.0472972972972973,0.9081632653061223,0.9863013698630136,0.6929824561403509
Thailand,0.7171717171717171,0.7391304347826086,0.4432989690721649,0.6436781609195402,0.26881720430107525,0.8469387755102041,0.6756756756756757,0.7857142857142857,0.9315068493150684,0.631578947368421
The former Yugoslav Republic of Macedonia,0.8383838383838383,0.8043478260869565,0.5360824742268041,0.8160919540229885,0.2043010752688172,0.8265306122448979,0.16891891891891891,0.8571428571428571,0.9452054794520548,0.6228070175438597
Timor-Leste,0.44107744107744096,0.33695652173913043,0.3161512027491409,0.25287356321839083,0.1039426523297491,0.4897959183673469,0.08108108108108109,0.4387755102040816,0.547945205479452,0.3859649122807017
Togo,0.2188552188552189,0.2282608695652173,0.12371134020618554,0.26436781609195403,0.013440860215053764,0.4081632653061225,0.054054054054054064,0.5204081632653061,0.4383561643835616,0.2368421052631579
Tonga,0.5195381487834321,0.7173913043478259,0.3423123473600035,0.6666666666666666,0.2406934018619961,0.6428571428571429,0.3716216216216216,0.6224489795918368,0.9315068493150684,0.6140350877192983
Trinidad and Tobago,0.9393939393939394,0.7391304347826086,0.8350515463917526,0.6781609195402298,0.7096774193548387,0.9183673469387756,0.4662162162162162,0.8571428571428571,0.8493150684931506,0.6403508771929824
Tunisia,0.5252525252525253,0.5978260869565217,0.21649484536082475,0.6436781609195402,0.0967741935483871,0.5127551020408163,0.14864864864864866,0.5076530612244898,0.9315068493150684,0.8508771929824561
Turkey,0.5892255892255893,0.6847826086956522,0.32302405498281783,0.7471264367816092,0.2293906810035841,0.7346938775510204,0.13513513513513514,0.7460317460317459,0.8904109589041096,0.6754385964912281
Turkmenistan,0.6388888888888888,0.8043478260869565,0.3582474226804124,0.8160919540229885,0.3655913978494624,0.8571428571428571,0.3716216216216216,0.8571428571428571,0.9452054794520548,0.6666666666666666
Tuvalu,0.5195381487834321,0.2282608695652173,0.3423123473600035,0.26436781609195403,0.2406934018619961,0.4795918367346938,0.08108108108108109,0.35714285714285715,0.3972602739726027,0.2719298245614035
Uganda,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.17346938775510204,0.08783783783783784,0.17346938775510204,0.0684931506849315,0.14035087719298245
Ukraine,1.0,0.8478260869565217,1.0,0.8505747126436781,1.0,0.8673469387755102,0.6418918918918919,0.8673469387755102,0.9726027397260274,0.7456140350877193
United Arab Emirates,0.5892255892255893,0.5978260869565217,0.32302405498281783,0.6436781609195402,0.2293906810035841,0.7346938775510204,0.14864864864864866,0.7460317460317459,0.8664383561643836,0.6140350877192983
United Kingdom,0.5195381487834321,0.967391304347826,0.3423123473600035,0.9540229885057472,0.2406934018619961,0.5798192532827089,0.5472972972972973,0.5703755339345039,0.9452054794520548,0.7894736842105263
United Republic of Tanzania,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.24489795918367346,0.22297297297297292,0.2653061224489796,0.7397260273972602,0.2456140350877193
United States,0.5195381487834321,0.8913043478260869,0.3423123473600035,0.8850574712643678,0.2406934018619961,0.5798192532827089,0.4662162162162162,0.5703755339345039,0.9041095890410958,0.7368421052631579
Uruguay,0.8131313131313131,0.7065217391304348,0.4793814432989691,0.6206896551724138,0.25806451612903225,0.7460317460317459,0.5945945945945946,0.6961451247165533,0.9315068493150684,0.8245614035087719
Uzbekistan,0.5959595959595959,0.9021739130434784,0.4432989690721649,0.9310344827586208,0.3440860215053764,0.9183673469387756,0.16891891891891891,0.9285714285714286,0.9726027397260274,0.6754385964912281
Vanuatu,0.5195381487834321,0.44565217391304346,0.3423123473600035,0.3908045977011495,0.2406934018619961,0.3673469387755102,0.3918918918918919,0.3877551020408163,0.6027397260273972,0.4035087719298245
Venezuela (Bolivarian Republic of),0.8131313131313131,0.7391304347826086,0.4793814432989691,0.6436781609195402,0.25806451612903225,0.4387755102040816,0.5067567567567568,0.30612244897959184,0.8904109589041096,0.6228070175438597
Viet Nam,0.494949494949495,0.7173913043478259,0.20618556701030927,0.6666666666666666,0.03225806451612903,0.8571428571428571,0.527027027027027,0.7959183673469388,0.9315068493150684,0.6052631578947368
Yemen,0.31313131313131315,0.25,0.10309278350515463,0.4252873563218391,0.04301075268817205,0.2755102040816326,0.3708122184684683,0.5,0.3972602739726027,0.30701754385964913
Zambia,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.3673469387755102,0.11486486486486487,0.3877551020408163,0.3561643835616438,0.2456140350877193
Zimbabwe,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.5,0.11486486486486487,0.4897959183673469,0.4520547945205479,0.2456140350877193
