Country or Area,Father's support for learning
Afghanistan,62
Albania,53
Bangladesh,53
Belarus,72
Belize,50
Bhutan,51
Bosnia and Herzegovina,74
Burkina Faso,24
Burundi,20
Cameroon,39
Central African Republic,42
Chad,29
C̫te d'Ivoire,40
Democratic People's Republic of Korea,75
Democratic Republic of the Congo,36
Djibouti,23
Gambia,21
Georgia,61
Ghana,30
Guyana,52
Iraq,60
Jamaica,41
Kazakhstan,49
Kyrgyzstan,54
Lao People's Democratic Republic,24
Lebanon,74
Mali,14
Mauritania,30
Mongolia,41
Montenegro,79
Morocco,56
Mozambique,20
Myanmar,44
Nigeria,38
Serbia,78
Sierra Leone,42
Somalia,48
Suriname,31
Swaziland,10
Syrian Arab Republic,62
Tajikistan,23
Thailand,57
The former Yugoslav Republic of Macedonia,71
Togo,38
Trinidad and Tobago,63
Uzbekistan,54
Viet Nam,61
Western and Central Africa,35
Yemen,37
fnSeqID,
1,
2,
3,
