Country or Area,Internet users
Afghanistan,5
Albania,49
Algeria,14
Andorra,81
Angola,15
Antigua and Barbuda,82
Argentina,48
Armenia,29
Australia,79
Austria,80
Azerbaijan,50
Bahamas,65
Bahrain,77
Bangladesh,5
Barbados,72
Belarus,40
Belgium,78
Belize,39
Benin,4
Bhutan,21
Bolivia (Plurinational State of),30
Bosnia and Herzegovina,60
Botswana,7
Brazil,45
Brunei Darussalam,56
Bulgaria,51
Burkina Faso,3
Burundi,1
Cambodia,3
Cameroon,5
Canada,83
Cape Verde,32
Central African Republic,2
Chad,2
Chile,54
China,38
Colombia,40
Comoros,6
Congo,6
Cook Islands,35
Costa Rica,42
Croatia,71
Cuba,23
Cyprus,58
Czech Republic,73
C̫te d'Ivoire,2
Democratic People's Republic of Korea,35
Democratic Republic of the Congo,1
Denmark,90
Djibouti,7
Dominica,51
Dominican Republic,36
Ecuador,31
Egypt,36
El Salvador,18
Equatorial Guinea,14
Eritrea,6
Estonia,77
Ethiopia,1
Fiji,28
Finland,89
France,80
Gabon,8
Gambia,11
Georgia,37
Germany,83
Ghana,14
Greece,53
Grenada,39
Guatemala,12
Guinea,1
Guinea-Bissau,3
Guyana,32
Haiti,39
Holy See,42
Honduras,16
Hungary,59
Iceland,95
India,10
Indonesia,18
Iran (Islamic Republic of),21
Iraq,5
Ireland,77
Israel,70
Italy,57
Jamaica,32
Japan,80
Jordan,35
Kazakhstan,45
Kenya,28
Kiribati,10
Kuwait,74
Kyrgyzstan,20
Lao People's Democratic Republic,9
Latvia,72
Lebanon,52
Lesotho,4
Liberia,3
Libya,17
Liechtenstein,85
Lithuania,65
Luxembourg,91
Madagascar,2
Malawi,3
Malaysia,61
Maldives,34
Mali,2
Malta,69
Marshall Islands,35
Mauritania,5
Mauritius,35
Mexico,36
Micronesia (Federated States of),35
Monaco,42
Mongolia,20
Montenegro,40
Morocco,51
Mozambique,4
Myanmar,1
Namibia,12
Nauru,35
Nepal,9
Netherlands,92
New Zealand,86
Nicaragua,11
Niger,1
Nigeria,28
Niue,35
Norway,94
Oman,68
Pakistan,9
Palau,35
Panama,43
Papua New Guinea,2
Paraguay,24
Peru,37
Philippines,29
Poland,65
Portugal,55
Qatar,86
Republic of Korea,84
Republic of Moldova,38
Romania,44
Russian Federation,49
Rwanda,7
Saint Kitts and Nevis,39
Saint Lucia,42
Saint Vincent and the Grenadines,43
Samoa,35
San Marino,50
Sao Tome and Principe,20
Saudi Arabia,48
Senegal,18
Serbia,42
Seychelles,43
Sierra Leone,14
Singapore,75
Slovakia,74
Slovenia,72
Solomon Islands,6
Somalia,1
South Africa,21
South Sudan,13
Spain,68
Sri Lanka,15
State of Palestine,55
Sudan,6
Suriname,32
Swaziland,18
Sweden,91
Switzerland,85
Syrian Arab Republic,23
Tajikistan,13
Thailand,24
The former Yugoslav Republic of Macedonia,57
Timor-Leste,1
Togo,4
Tonga,25
Trinidad and Tobago,55
Tunisia,39
Turkey,42
Turkmenistan,5
Tuvalu,30
Uganda,13
Ukraine,31
United Arab Emirates,70
United Kingdom,82
United Republic of Tanzania,12
United States,78
Uruguay,51
Uzbekistan,30
Vanuatu,6
Venezuela (Bolivarian Republic of),40
Viet Nam,35
Yemen,15
Zambia,12
Zimbabwe,16
