Country or Area,Poorest 20% Learning materials at home - Children's books,Total Learning materials at home - Children's books,Richest 20% Learning materials at home - Children's books
Afghanistan,1,70,5
Albania,16,8,52
Angola,1,8,21
Belize,17,1,73
Benin,1,8,21
Bhutan,1,1,24
Bosnia and Herzegovina,52,5,88
Burkina Faso,1,8,21
Cameroon,3,79,22
Cape Verde,1,8,21
Central African Republic,0,1,3
Chad,0,15,2
Congo,1,8,21
C̫te d'Ivoire,3,1,13
Democratic People's Republic of Korea,0,32,0
Democratic Republic of the Congo,0,72,2
Djibouti,0,2,0
Equatorial Guinea,1,8,21
Gabon,1,8,21
Gambia,0,6,5
Georgia,48,54,91
Ghana,1,57,23
Guinea,1,8,21
Guinea-Bissau,1,8,21
Guyana,28,48,86
Jamaica,0,40,0
Kazakhstan,24,76,76
Kyrgyzstan,76,3,85
Lao People's Democratic Republic,1,29,11
Lebanon,0,6,0
Liberia,1,8,21
Mali,0,0,2
Mauritania,1,8,21
Mongolia,6,23,48
Montenegro,50,77,92
Morocco,9,21,52
Mozambique,2,3,10
Niger,1,8,21
Nigeria,2,14,35
Sao Tome and Principe,1,8,21
Senegal,1,8,21
Serbia,49,76,86
Sierra Leone,0,2,10
Suriname,20,45,75
Swaziland,1,4,12
Syrian Arab Republic,12,30,53
Tajikistan,4,17,33
Thailand,25,43,71
The former Yugoslav Republic of Macedonia,19,52,83
Togo,0,2,7
Trinidad and Tobago,66,81,93
Ukraine,93,97,99
Uzbekistan,32,43,59
Viet Nam,3,20,49
Yemen,4,10,31
