Country or Area,Female 15-19 yr Proportion of population 15-19 year-olds who use at least one type of information media at least once a week,Male 15-19 yr Proportion of population 15-19 year-olds who use at least one type of information media at least once a week
Afghanistan,61,90
Albania,99,0
Angola,60,97
Armenia,92,0
Australia,85,94
Azerbaijan,95,0
Bangladesh,63,0
Benin,64,0
Bhutan,61,90
Bolivia (Plurinational State of),97,0
Botswana,62,71
Brunei Darussalam,85,94
Burkina Faso,55,0
Burundi,69,0
Cambodia,76,0
Cameroon,61,0
Cape Verde,88,0
Central African Republic,60,97
Chad,24,0
China,85,94
Comoros,61,90
Congo,63,0
Cook Islands,85,94
C̫te d'Ivoire,75,0
Democratic People's Republic of Korea,85,94
Democratic Republic of the Congo,43,0
Djibouti,61,90
Dominican Republic,98,97
Egypt,97,83
Equatorial Guinea,60,97
Eritrea,85,100
Ethiopia,38,61
Fiji,85,94
Gabon,83,83
Gambia,60,97
Ghana,85,73
Guinea,55,77
Guinea-Bissau,60,97
Guyana,94,88
Haiti,83,55
Honduras,98,75
India,72,86
Indonesia,79,55
Iran (Islamic Republic of),71,99
Japan,85,94
Jordan,97,98
Kazakhstan,99,71
Kenya,81,42
Kiribati,57,89
Lao People's Democratic Republic,61,90
Lesotho,69,66
Liberia,63,94
Madagascar,60,88
Malawi,65,88
Malaysia,85,94
Maldives,100,99
Mali,79,91
Marshall Islands,85,58
Mauritania,44,68
Mauritius,62,71
Micronesia (Federated States of),85,94
Mongolia,85,94
Morocco,90,64
Mozambique,88,73
Myanmar,61,90
Namibia,88,61
Nauru,86,82
Nepal,76,81
New Zealand,85,94
Nicaragua,95,86
Niger,48,55
Nigeria,64,95
Niue,85,94
Pakistan,71,99
Palau,85,94
Papua New Guinea,85,94
Peru,91,86
Philippines,94,89
Republic of Korea,85,94
Republic of Moldova,98,86
Rwanda,73,66
Samoa,97,82
Sao Tome and Principe,95,99
Senegal,81,88
Serbia,100,97
Seychelles,62,71
Sierra Leone,51,96
Singapore,85,94
Solomon Islands,54,86
Somalia,61,90
South Africa,62,71
South Sudan,61,90
Sri Lanka,88,66
Sudan,61,90
Swaziland,89,88
Thailand,85,94
Timor-Leste,62,73
Togo,60,97
Tonga,85,94
Turkmenistan,96,94
Tuvalu,95,61
Uganda,82,89
Ukraine,99,88
United Republic of Tanzania,70,99
Vanuatu,61,90
Viet Nam,94,79
Yemen,61,90
Zambia,71,80
Zimbabwe,53,59
