Country or Area,Ratio of girls to boys starting grade 1 who reach grade 5
Afghanistan,102.0
Albania,100.0
Algeria,104.0
Andorra,101.0
Angola,73.0
Antigua and Barbuda,102.0
Argentina,101.0
Armenia,101.75
Australia,97.66666666666667
Austria,103.0
Azerbaijan,102.0
Bahamas,96.0
Bahrain,101.75
Bangladesh,114.0
Barbados,102.0
Belarus,101.0
Belgium,103.0
Belize,103.0
Benin,100.0
Bhutan,105.0
Bolivia (Plurinational State of),102.0
Bosnia and Herzegovina,99.0
Botswana,104.0
Brazil,102.0
Brunei Darussalam,100.0
Bulgaria,99.0
Burkina Faso,109.0
Burundi,118.0
Cambodia,102.0
Cameroon,98.0
Canada,89.0
Cape Verde,100.0
Central African Republic,90.0
Chad,96.0
Chile,102.0
China,100.66666666666667
Colombia,101.0
Comoros,101.0
Congo,100.0
Cook Islands,97.66666666666667
Costa Rica,103.0
Croatia,101.0
Cuba,102.0
Cyprus,101.75
Czech Republic,100.0
C̫te d'Ivoire,96.0
Democratic People's Republic of Korea,100.66666666666667
Democratic Republic of the Congo,88.0
Denmark,100.0
Djibouti,101.0
Dominica,105.0
Dominican Republic,102.0
Ecuador,102.0
Egypt,102.0
El Salvador,101.0
Equatorial Guinea,108.0
Eritrea,94.0
Estonia,100.0
Ethiopia,100.0
Fiji,95.0
Finland,100.0
France,101.0
Gabon,100.0
Gambia,94.0
Georgia,105.0
Germany,101.0
Ghana,91.0
Greece,101.0
Grenada,102.0
Guatemala,102.0
Guinea,76.0
Guinea-Bissau,100.0
Guyana,96.0
Haiti,102.0
Honduras,102.0
Hungary,100.0
Iceland,101.0
India,102.5
Indonesia,104.125
Iran (Islamic Republic of),100.0
Iraq,101.75
Ireland,101.0
Israel,98.0
Italy,100.0
Jamaica,102.0
Japan,100.0
Jordan,101.75
Kazakhstan,100.0
Kenya,101.0
Kiribati,102.0
Kuwait,100.0
Kyrgyzstan,99.0
Lao People's Democratic Republic,102.0
Latvia,100.0
Lebanon,103.0
Lesotho,124.0
Liberia,100.0
Libya,102.0
Liechtenstein,96.0
Lithuania,100.0
Luxembourg,101.0
Madagascar,105.0
Malawi,103.0
Malaysia,100.0
Maldives,102.5
Mali,95.0
Malta,91.0
Marshall Islands,91.0
Mauritania,99.0
Mauritius,99.0
Mexico,102.0
Monaco,101.0
Mongolia,102.0
Montenegro,101.0
Morocco,100.0
Mozambique,94.0
Myanmar,107.0
Namibia,107.0
Nauru,97.66666666666667
Nepal,102.0
Netherlands,101.0
New Zealand,97.66666666666667
Nicaragua,102.0
Niger,94.0
Nigeria,107.0
Norway,100.0
Oman,101.75
Pakistan,92.0
Panama,100.0
Papua New Guinea,97.66666666666667
Paraguay,106.0
Peru,101.0
Philippines,111.0
Poland,100.0
Portugal,101.0
Qatar,101.75
Republic of Korea,100.0
Republic of Moldova,104.0
Romania,100.0
Russian Federation,101.0
Rwanda,101.0
Saint Kitts and Nevis,90.0
Saint Lucia,97.0
Saint Vincent and the Grenadines,102.0
Samoa,97.66666666666667
San Marino,101.0
Sao Tome and Principe,121.0
Saudi Arabia,101.75
Senegal,105.0
Serbia,100.0
Seychelles,101.0
Sierra Leone,100.0
Singapore,100.0
Slovakia,100.0
Slovenia,100.0
Solomon Islands,102.0
Somalia,101.0
South Africa,101.0
South Sudan,101.0
Spain,101.0
Sri Lanka,102.5
State of Palestine,101.75
Sudan,102.0
Suriname,122.0
Swaziland,107.0
Sweden,100.0
Switzerland,101.0
Syrian Arab Republic,101.0
Tajikistan,101.0
Thailand,104.125
The former Yugoslav Republic of Macedonia,101.0
Timor-Leste,111.0
Togo,123.0
Tonga,97.66666666666667
Trinidad and Tobago,106.0
Tunisia,102.0
Turkey,103.0
Turkmenistan,101.0
Tuvalu,102.0
Uganda,101.0
Ukraine,101.0
United Arab Emirates,101.75
United Kingdom,101.0
United Republic of Tanzania,113.0
United States,89.0
Uruguay,104.0
Uzbekistan,101.0
Vanuatu,94.0
Venezuela (Bolivarian Republic of),105.0
Viet Nam,104.125
Yemen,102.0
Zambia,95.0
Zimbabwe,101.0
